Name;x;y;z
GJ 1194;-3.305;2.314;3.829
NN 3275;3.368;-1.534;1.293
GJ 1057;2.569;-2.288;0.287
GJ 1054;2.29;-2.136;-1.68
GJ 1055;3.501;-3.237;0.844
GJ 1050;3.284;-3.922;-3.464
NN 3543;3.162;3.65;-1.628
NN 3571;2.031;3.312;1.487
Gliese 706;-3.54;-0.149;2.814
Gliese 707;-3.83;-0.207;-3.632
Gliese 701;-3.173;-0.071;-0.168
Gliese 661;-1.762;0.374;1.844
Gliese 667;-2.291;0.415;-1.63
Gliese 666;-2.421;0.437;-2.604
Kruger 60;-0.341;-0.805;1.381
NN 3877;-1.556;1.602;-1.195
NN 3873;-2.66;2.792;2.757
NN 3076;1.021;-3.17;0.92
Xi Ursae Majoris;0.656;3.56;2.221
GJ 1221;-0.82;0.042;2.366
GJ 1223;-3.872;-0.047;2.975
GJ 1224;-2.952;-0.098;-0.845
Iota Persei;2.044;-1.89;3.271
Capella;3.599;-0.688;3.794
TZ Arietis;0.888;-1.537;0.412
NN 4048/4049;-3.6;-0.285;2.902
NN 3667;0.453;3.366;1.122
Gliese 793;-1.068;-0.823;2.952
Gliese 792;-3.791;-2.947;3.827
Gliese 553.1;-2.717;3.509;-0.967
NN 3128;1.821;-3.083;0.653
Gliese 799;-2.677;-2.283;-2.236
Gliese 798;-2.273;-1.947;-3.928
GJ 1227;-1.567;-0.155;2.969
Mu Cassiopeiae;0.519;-1.692;2.52
NN 3466;3.896;2.135;-2.497
Gliese 223.2;2.626;-0.056;-0.19
Gliese 590;-3.196;2.309;-3.068
Gliese 595;-2.601;1.785;-1.115
GJ 2012;0.673;-3.681;-1.538
Gliese 846;-2.067;-3.66;0.103
Gamma Serpentis;-3.747;2.241;1.224
Gliese 563.2;-1.113;1.218;-0.809
Gliese 849;-1.651;-3.16;-0.289
Mu Herculis;-3.026;0.179;1.593
Gliese 508;-0.969;2.671;3.132
Gliese 567;-3.05;3.23;1.543
NN 4122;-3.52;-1.752;2.494
Gliese 440;0.05;0.798;-1.705
Theta Persei;1.964;-2.255;3.468
Gliese 442;0.168;2.859;-2.447
Gliese 445;0.023;0.43;2.155
Gliese 568;-2.628;2.773;1.665
Gliese 569;-2.652;2.783;1.11
Gliese 239;3.776;0.618;1.211
Gliese 51;0.465;-1.641;3.257
Gliese 338;1.011;1.147;2.007
Ross 614;1.663;0.213;-0.082
Gliese 54;0.385;-1.213;-3.065
Proxima Centauri;-0.147;0.191;-0.469
Wolf 1061;-1.568;0.647;-0.381
Gliese 625;-1.434;0.628;2.179
Gliese 791.2;-2.794;-2.139;0.601
Gliese 623;-1.991;0.885;2.45
GJ 1125;2.386;3.131;0.022
82 G. Eri;1.382;-1.161;-1.687
GJ 1083;3.813;-0.327;1.769
GJ 1129;2.197;3.285;-1.3
GJ 2097;-0.704;2.338;0.929
NN 3839;-1.698;2.492;1.864
NN 3119;1.888;-3.587;-0.434
Van Maanen's Star;0.381;-1.748;0.169
NN 3304;3.366;-1.255;1.928
GJ 1061;1.009;-0.734;-1.227
NN 3306;3.59;-1.346;-0.593
Gliese 195;3.658;-0.688;3.834
Gliese 194;3.599;-0.689;3.795
